"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){ (i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o), m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m) })(window,document,'script','//www.google-analytics.com/analytics.js','ga'); ga('create', 'UA-59933164-1', 'auto'); ga('send', 'pageview'); Chicago Board of Election Commissioners",,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%,
"959,986","784,206",81.69%,"160,971",16.77%,"5,107",0.53%,"2,263",0.24%,"1,134",0.12%,"6,305",0.66%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,645,553,85.74%,73,11.32%,7,1.09%,6,0.93%,1,0.16%,5,0.78%
2,519,459,88.44%,47,9.06%,5,0.96%,3,0.58%,0,0%,5,0.96%
3,664,591,89.01%,64,9.64%,1,0.15%,0,0%,1,0.15%,7,1.05%
4,659,561,85.13%,86,13.05%,3,0.46%,2,0.30%,0,0%,7,1.06%
5,625,548,87.68%,64,10.24%,3,0.48%,2,0.32%,0,0%,8,1.28%
6,544,448,82.35%,89,16.36%,4,0.74%,1,0.18%,1,0.18%,1,0.18%
7,407,354,86.98%,44,10.81%,1,0.25%,1,0.25%,0,0%,7,1.72%
8,550,481,87.45%,63,11.45%,2,0.36%,1,0.18%,0,0%,3,0.55%
9,413,348,84.26%,57,13.80%,3,0.73%,1,0.24%,0,0%,4,0.97%
10,714,613,85.85%,86,12.04%,2,0.28%,0,0%,0,0%,13,1.82%
11,666,593,89.04%,61,9.16%,7,1.05%,0,0%,0,0%,5,0.75%
12,720,581,80.69%,127,17.64%,4,0.56%,2,0.28%,0,0%,6,0.83%
13,303,261,86.14%,30,9.90%,5,1.65%,2,0.66%,0,0%,5,1.65%
14,575,509,88.52%,59,10.26%,2,0.35%,1,0.17%,0,0%,4,0.70%
15,495,412,83.23%,70,14.14%,4,0.81%,3,0.61%,0,0%,6,1.21%
16,651,556,85.41%,76,11.67%,5,0.77%,5,0.77%,1,0.15%,8,1.23%
17,488,430,88.11%,49,10.04%,4,0.82%,2,0.41%,1,0.20%,2,0.41%
18,577,519,89.95%,45,7.80%,4,0.69%,5,0.87%,1,0.17%,3,0.52%
19,694,621,89.48%,53,7.64%,10,1.44%,2,0.29%,0,0%,8,1.15%
20,445,407,91.46%,32,7.19%,3,0.67%,1,0.22%,0,0%,2,0.45%
21,877,787,89.74%,71,8.10%,9,1.03%,1,0.11%,1,0.11%,8,0.91%
22,414,361,87.20%,39,9.42%,8,1.93%,2,0.48%,0,0%,4,0.97%
23,736,655,88.99%,62,8.42%,8,1.09%,5,0.68%,2,0.27%,4,0.54%
24,552,481,87.14%,53,9.60%,5,0.91%,6,1.09%,2,0.36%,5,0.91%
25,567,501,88.36%,54,9.52%,4,0.71%,0,0%,2,0.35%,6,1.06%
26,427,366,85.71%,54,12.65%,2,0.47%,0,0%,1,0.23%,4,0.94%
27,646,548,84.83%,87,13.47%,3,0.46%,2,0.31%,0,0%,6,0.93%
28,218,177,81.19%,35,16.06%,2,0.92%,0,0%,2,0.92%,2,0.92%
29,784,693,88.39%,73,9.31%,3,0.38%,6,0.77%,0,0%,9,1.15%
30,679,590,86.89%,75,11.05%,7,1.03%,2,0.29%,0,0%,5,0.74%
31,536,456,85.07%,71,13.25%,1,0.19%,3,0.56%,2,0.37%,3,0.56%
32,574,474,82.58%,86,14.98%,1,0.17%,0,0%,2,0.35%,11,1.92%
33,698,579,82.95%,106,15.19%,2,0.29%,5,0.72%,0,0%,6,0.86%
34,465,426,91.61%,28,6.02%,2,0.43%,2,0.43%,1,0.22%,6,1.29%
35,746,636,85.25%,98,13.14%,1,0.13%,0,0%,0,0%,11,1.47%
36,685,593,86.57%,78,11.39%,5,0.73%,0,0%,0,0%,9,1.31%
37,642,530,82.55%,100,15.58%,5,0.78%,1,0.16%,0,0%,6,0.93%
38,582,525,90.21%,47,8.08%,2,0.34%,0,0%,1,0.17%,7,1.20%
39,502,427,85.06%,68,13.55%,1,0.20%,1,0.20%,0,0%,5,1.00%
40,576,461,80.03%,105,18.23%,3,0.52%,1,0.17%,0,0%,6,1.04%
41,347,316,91.07%,22,6.34%,1,0.29%,2,0.58%,1,0.29%,5,1.44%
42,181,155,85.64%,21,11.60%,1,0.55%,0,0%,0,0%,4,2.21%
43,377,325,86.21%,46,12.20%,2,0.53%,0,0%,0,0%,4,1.06%
44,531,473,89.08%,43,8.10%,4,0.75%,0,0%,0,0%,11,2.07%
Total,"24,696",21380,86.57%,2797,11.33%,161,0.65%,79,0.32%,23,0.09%,256,1.04%
,,,,,,,,,,,,,
Ward 2,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,678,589,86.87%,76,11.21%,4,0.59%,0,0%,0,0%,9,1.33%
2,432,325,75.23%,101,23.38%,1,0.23%,0,0%,0,0%,5,1.16%
3,680,598,87.94%,69,10.15%,4,0.59%,1,0.15%,0,0%,8,1.18%
4,598,528,88.29%,60,10.03%,2,0.33%,3,0.50%,1,0.17%,4,0.67%
5,696,600,86.21%,80,11.49%,3,0.43%,3,0.43%,0,0%,10,1.44%
6,618,516,83.50%,92,14.89%,3,0.49%,0,0%,0,0%,7,1.13%
7,550,471,85.64%,66,12.00%,8,1.45%,0,0%,0,0%,5,0.91%
8,754,646,85.68%,87,11.54%,2,0.27%,1,0.13%,3,0.40%,15,1.99%
9,580,452,77.93%,116,20.00%,1,0.17%,0,0%,0,0%,11,1.90%
10,466,304,65.24%,156,33.48%,1,0.21%,0,0%,0,0%,5,1.07%
11,620,469,75.65%,141,22.74%,3,0.48%,1,0.16%,1,0.16%,5,0.81%
12,547,474,86.65%,62,11.33%,3,0.55%,0,0%,2,0.37%,6,1.10%
13,504,389,77.18%,109,21.63%,1,0.20%,0,0%,0,0%,5,0.99%
14,606,510,84.16%,87,14.36%,2,0.33%,1,0.17%,0,0%,6,0.99%
15,541,473,87.43%,60,11.09%,0,0%,2,0.37%,0,0%,6,1.11%
16,569,506,88.93%,58,10.19%,0,0%,0,0%,0,0%,5,0.88%
17,664,552,83.13%,102,15.36%,3,0.45%,1,0.15%,1,0.15%,5,0.75%
18,566,429,75.80%,125,22.08%,3,0.53%,0,0%,1,0.18%,8,1.41%
19,423,307,72.58%,115,27.19%,0,0%,0,0%,0,0%,1,0.24%
20,794,633,79.72%,147,18.51%,2,0.25%,0,0%,1,0.13%,11,1.39%
21,641,568,88.61%,64,9.98%,2,0.31%,1,0.16%,0,0%,6,0.94%
22,649,520,80.12%,111,17.10%,3,0.46%,0,0%,0,0%,15,2.31%
23,418,322,77.03%,91,21.77%,0,0%,0,0%,1,0.24%,4,0.96%
24,523,439,83.94%,74,14.15%,0,0%,0,0%,0,0%,10,1.91%
25,673,582,86.48%,74,11.00%,2,0.30%,1,0.15%,0,0%,14,2.08%
26,540,426,78.89%,107,19.81%,0,0%,0,0%,0,0%,7,1.30%
27,559,373,66.73%,175,31.31%,1,0.18%,1,0.18%,0,0%,9,1.61%
28,704,550,78.13%,136,19.32%,2,0.28%,0,0%,0,0%,16,2.27%
29,683,525,76.87%,145,21.23%,1,0.15%,1,0.15%,0,0%,11,1.61%
30,523,394,75.33%,120,22.94%,2,0.38%,1,0.19%,0,0%,6,1.15%
31,677,532,78.58%,136,20.09%,1,0.15%,0,0%,0,0%,8,1.18%
32,531,401,75.52%,120,22.60%,4,0.75%,0,0%,1,0.19%,5,0.94%
33,871,649,74.51%,207,23.77%,4,0.46%,1,0.11%,0,0%,10,1.15%
34,459,340,74.07%,113,24.62%,0,0%,0,0%,0,0%,6,1.31%
35,829,647,78.05%,168,20.27%,3,0.36%,1,0.12%,0,0%,10,1.21%
36,712,534,75.00%,168,23.60%,1,0.14%,0,0%,0,0%,9,1.26%
37,519,400,77.07%,114,21.97%,1,0.19%,0,0%,0,0%,4,0.77%
38,586,436,74.40%,143,24.40%,0,0%,0,0%,1,0.17%,6,1.02%
39,423,273,64.54%,142,33.57%,4,0.95%,0,0%,0,0%,4,0.95%
