Presidential Electors (Vote For 1),,,,,,,,,,,,,,
,,DEM Joseph R. Biden/Kamala D. Harris,,,REP Donald J. Trump/Mike R. Pence,,,LIB Jo Jorgensen/Jeremy Spike Cohen,,,Write-in,,,
County,Registered Voters,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Total
ALEPPO,1388,166,351,517,347,152,499,6,3,9,2,2,4,1029
ASPINWALL DIST 1,861,209,253,462,184,27,211,2,4,6,1,3,4,683
ASPINWALL DIST 2,572,143,170,313,110,16,126,3,0,3,1,0,1,443
ASPINWALL DIST 3,856,200,265,465,150,43,193,7,4,11,2,0,2,671
AVALON WARD 1,1108,238,269,507,211,33,244,6,8,14,2,1,3,768
AVALON WARD 2 DIST 1,717,151,177,328,142,47,189,9,5,14,3,0,3,534
AVALON WARD 2 DIST 2,487,83,138,221,88,51,139,7,1,8,0,1,1,369
AVALON WARD 3 DIST 1,320,57,87,144,81,19,100,1,3,4,1,0,1,249
AVALON WARD 3 DIST 2,454,67,138,205,96,16,112,6,4,10,3,2,5,332
AVALON WARD 3 DIST 3,507,71,153,224,83,48,131,5,0,5,0,2,2,362
BALDWIN BR DIST 1,626,103,131,234,178,51,229,4,2,6,3,0,3,472
BALDWIN BR DIST 2,1024,166,291,457,285,72,357,14,12,26,1,4,5,845
BALDWIN BR DIST 3,838,137,217,354,229,51,280,1,2,3,2,0,2,639
BALDWIN BR DIST 4,782,121,175,296,265,45,310,6,2,8,3,0,3,617
BALDWIN BR DIST 5,824,127,207,334,226,59,285,3,4,7,2,1,3,629
BALDWIN BR DIST 6,764,104,190,294,238,63,301,6,5,11,2,0,2,608
BALDWIN BR DIST 7,820,105,210,315,236,74,310,7,4,11,1,3,4,640
BALDWIN BR DIST 8,715,91,206,297,225,54,279,2,4,6,0,2,2,584
BALDWIN BR DIST 9,769,84,253,337,199,59,258,2,5,7,1,0,1,603
BALDWIN BR DIST 10,1067,144,235,379,153,53,206,6,4,10,0,1,1,596
BALDWIN BR DIST 11,1294,214,329,543,179,80,259,2,4,6,2,3,5,813
BALDWIN BR DIST 12,634,89,151,240,204,48,252,3,2,5,0,1,1,498
BALDWIN BR DIST 13,688,93,176,269,237,80,317,3,4,7,0,3,3,596
BALDWIN BR DIST 14,613,85,153,238,192,56,248,3,2,5,2,1,3,494
BALDWIN BR DIST 15,798,88,218,306,260,77,337,6,6,12,1,0,1,656
BALDWIN BR DIST 16,914,163,211,374,263,65,328,6,6,12,0,1,1,715
BALDWIN BR DIST 17,677,84,216,300,192,55,247,4,0,4,1,0,1,552
BALDWIN BR DIST 18,938,114,305,419,214,86,300,2,1,3,1,1,2,724
BALDWIN TP DIST 1,806,178,171,349,268,45,313,5,1,6,0,2,2,670
BALDWIN TP DIST 2,757,122,200,322,234,36,270,4,2,6,0,0,0,598
BELL ACRES,1205,194,251,445,405,87,492,12,4,16,3,2,5,958
BELLEVUE WARD 1 DIST 1,970,159,270,429,169,47,216,9,3,12,2,2,4,661
BELLEVUE WARD 1 DIST 2,987,203,279,482,167,41,208,5,4,9,1,2,3,702
BELLEVUE WARD 2 DIST 1,1146,210,301,511,198,37,235,11,2,13,2,3,5,764
BELLEVUE WARD 2 DIST 2,1010,189,272,461,191,42,233,14,2,16,6,1,7,717
BELLEVUE WARD 3 DIST 1,1040,194,271,465,195,42,237,12,8,20,2,5,7,729
BELLEVUE WARD 3 DIST 2,1019,205,257,462,213,55,268,12,3,15,2,3,5,750
BEN AVON DIST 1,479,143,125,268,106,18,124,2,0,2,1,2,3,397
