President of the United States,,,,,,,,,,,,,,,,,
,,Donald J. Trump (I) (Rep),,,,,Joseph R. Biden (Dem),,,,,Jo Jorgensen (Lib),,,,,
County,Registered Voters,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Total
01A,0,41,143,50,0,234,160,1638,703,0,2501,3,10,9,0,22,2757
01B,0,79,158,57,0,294,242,1824,878,0,2944,11,16,15,0,42,3280
01C,0,21,20,8,0,49,180,369,161,0,710,4,6,3,0,13,772
01D,0,7,13,13,0,33,24,281,118,0,423,0,2,1,0,3,459
01E,0,40,166,75,0,281,101,1540,751,0,2392,7,19,11,0,37,2710
01F,0,14,12,6,0,32,110,251,107,0,468,2,4,0,0,6,506
01G,0,15,54,14,0,83,131,717,285,0,1133,2,12,3,0,17,1233
01H,0,6,7,3,0,16,64,205,117,0,386,1,0,3,0,4,406
01I,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01J,0,17,42,12,0,71,217,717,324,0,1258,3,9,6,0,18,1347
01P,0,16,7,4,0,27,208,217,166,0,591,3,2,1,0,6,624
01R,0,20,8,5,0,33,202,136,116,0,454,4,2,5,0,11,498
01S,0,20,23,10,0,53,228,484,201,0,913,5,3,2,0,10,976
01T,0,27,26,13,0,66,156,460,169,0,785,6,2,3,0,11,862
02A,0,83,409,168,0,660,137,1713,1067,0,2917,11,25,18,0,54,3631
02A1,0,13,67,6,0,86,25,269,54,0,348,3,4,1,0,8,442
02B,0,8,95,29,0,132,20,753,284,0,1057,3,9,4,0,16,1205
02C,0,23,73,30,0,126,75,676,359,0,1110,2,3,5,0,10,1246
02D,0,92,280,97,0,469,224,1861,1063,0,3148,11,19,11,0,41,3658
02E,0,35,71,34,0,140,94,888,462,0,1444,6,6,4,0,16,1600
02F1,0,21,163,73,0,257,40,1251,727,0,2018,5,19,10,0,34,2309
02F2,0,8,33,11,0,52,18,248,129,0,395,1,2,2,0,5,452
02G,0,82,192,71,0,345,163,1586,736,0,2485,7,20,15,0,42,2872
02J,0,33,81,46,0,160,86,876,425,0,1387,5,16,12,0,33,1580
02K,0,25,89,18,0,132,43,580,292,0,915,3,3,8,0,14,1061
02L1,0,98,372,189,0,659,167,1973,1251,0,3391,11,27,22,0,60,4110
02L1A,0,24,78,9,0,111,72,542,91,0,705,2,4,1,0,7,823
02L2,0,44,140,36,0,220,105,825,370,0,1300,0,5,4,0,9,1529
02S,0,14,17,12,0,43,37,277,131,0,445,3,3,3,0,9,497
02W,0,22,61,21,0,104,48,372,120,0,540,0,2,5,0,7,651
03A,0,10,20,8,0,38,146,379,220,0,745,2,2,2,0,6,789
03B,0,4,6,6,0,16,52,100,60,0,212,3,0,0,0,3,231
03C,0,8,9,8,0,25,147,342,228,0,717,2,6,3,0,11,753
03D,0,0,10,9,0,19,0,217,103,0,320,0,0,0,0,0,339
03E,0,33,22,8,0,63,282,466,217,0,965,4,5,4,0,13,1041
